Ad clicked Date,Ad Title/Id
2026/08/17 20:42:33 UTC,926587194
2024/09/14 14:50:41 UTC,448853204
2026/08/17 00:49:40 UTC,1397498256
2025/10/09 23:48:31 UTC,838534636
2026/08/17 00:30:42 UTC,1397498256
2025/02/17 14:51:30 UTC,590792613
2026/08/02 19:08:24 UTC,1532602096
2026/01/09 11:58:24 UTC,1011484446
2026/08/15 00:14:45 UTC,1397498256
2024/12/13 21:22:58 UTC,438728474
2026/07/31 17:07:27 UTC,1474683664
2025/06/25 20:20:56 UTC,744081046
2026/08/14 15:34:38 UTC,1125785694
2025/06/24 21:32:58 UTC,524691946
2026/08/14 02:38:03 UTC,1140986984
2024/10/23 20:49:08 UTC,420419384
2026/08/11 17:39:54 UTC,1130003494
2025/08/31 03:31:19 UTC,720306506
2026/07/27 18:54:57 UTC,1499810476
2025/08/31 03:31:23 UTC,720306506
2026/07/24 16:41:40 UTC,1464545734
2025/04/14 00:19:04 UTC,641112764
2026/07/21 12:50:28 UTC,1125586354
2026/03/11 12:26:36 UTC,1250502556
2026/07/22 11:33:39 UTC,1495562436
2026/02/11 18:30:24 UTC,644148836
2026/07/22 11:33:45 UTC,1495562436
2025/12/28 17:25:46 UTC,869732434
2026/07/22 11:33:48 UTC,1495562436
2025/12/28 17:32:26 UTC,870980476
2026/07/22 11:33:48 UTC,1495562436
2025/12/28 17:32:34 UTC,870980476
2026/07/22 11:34:30 UTC,1435810843
2025/05/18 20:46:30 UTC,178988726
2026/07/17 15:00:24 UTC,1489177656
2026/02/17 15:32:34 UTC,1074124314
2026/07/17 15:00:25 UTC,1489177656
2026/02/17 15:32:33 UTC,1074124314
2026/07/17 17:45:12 UTC,1150011254
2025/03/03 02:59:39 UTC,571910433
2026/07/19 13:10:45 UTC,427698984
2025/03/19 15:14:33 UTC,623484504
2026/07/17 21:04:54 UTC,1138562234
2025/05/13 17:58:28 UTC,438452014
2026/07/17 21:05:16 UTC,1138562234
2025/05/13 17:58:27 UTC,438452014
2026/07/10 14:58:14 UTC,1436976733
2025/05/06 22:36:00 UTC,283754943
2026/07/10 14:58:16 UTC,1436976733
2025/09/25 13:19:35 UTC,427864244
2026/07/10 14:58:16 UTC,1436976733
2025/09/25 13:19:52 UTC,841525423
2026/07/10 14:58:16 UTC,1436976733
2025/05/21 01:49:02 UTC,626512636
2026/07/10 14:58:17 UTC,1436976733
2025/05/20 18:14:25 UTC,675706276
2026/07/10 14:58:20 UTC,1436976733
2025/05/21 01:49:06 UTC,626512636
2026/07/12 03:13:20 UTC,427698984
2025/01/27 22:05:51 UTC,571910433
2026/07/10 15:00:52 UTC,643694406
2024/11/15 22:34:36 UTC,427864244
2026/07/10 15:00:53 UTC,643694406
2026/01/05 19:01:59 UTC,1080681074
2026/07/10 15:00:53 UTC,643694416
2026/01/05 19:02:00 UTC,1080681074
2026/07/10 15:00:53 UTC,643694416
2025/10/22 01:24:04 UTC,766928664
2026/07/03 12:41:00 UTC,716599533
2026/02/25 16:03:03 UTC,714683624
2026/07/03 12:41:02 UTC,716599533
2026/02/25 16:03:02 UTC,714683624
2026/07/04 17:59:18 UTC,427698984
2025/07/09 14:19:50 UTC,192833996
2026/06/25 21:13:31 UTC,1245522654
2025/08/28 20:17:49 UTC,775881553
2026/07/01 19:41:55 UTC,427698984
2026/01/21 00:10:24 UTC,1078384284
2026/05/07 13:17:05 UTC,643656546
2024/11/13 02:50:22 UTC,529684824
2026/05/06 16:30:01 UTC,643656546
2024/11/13 02:50:38 UTC,529684824
2026/05/06 16:30:01 UTC,643656546
2024/09/23 20:30:33 UTC,419167833
2026/06/23 17:03:18 UTC,1440048406
2026/01/20 16:36:07 UTC,714683624
2026/06/23 17:03:22 UTC,1440048406
2026/01/20 16:36:11 UTC,714683624
2026/06/18 15:25:16 UTC,1233197904
2025/08/28 20:17:46 UTC,775881553
2026/06/18 15:25:16 UTC,1233197904
2025/08/28 20:25:45 UTC,702604824
2026/06/18 15:25:18 UTC,1233197904
2025/10/12 00:35:57 UTC,644148836
2026/06/18 15:25:22 UTC,1233197904
