Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2022-05-19 14:40:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6933063916533022720,"Este jueves 19 de Mayo estaremos en la capacitación virtual ""El desafío del emprendedor en el liderazgo actual en el Valle del Cauca"" orientado por la Directora de Proyectos de @consultoria_bioindustrial la profesional y Magister @karinacentenorangel, están cordialmente invitados a esta gran charla, agradecemos a la @gobvalle y a @etniasvalle . Aquí el link para el ingreso los esperamos!""
""""
""https://lnkd.in/gP-WC8Mz""
""""
""#emprendimiento #ValledelCauca #Valleinvencible #liderazgo #liderazgoemprendedor""
""https://lnkd.in/gAMzj98k","","",MEMBER_NETWORK
2022-04-27 04:25:41,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6924936588468592640,"","","",MEMBER_NETWORK
2022-04-21 01:20:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6922715724255756288,"","","",MEMBER_NETWORK
2022-04-18 03:49:31,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6921665993492561920,"","","",MEMBER_NETWORK
2022-04-07 21:04:28,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6917940179194236929,"","","",MEMBER_NETWORK
2022-03-24 22:04:08,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6912881768488390656,"","","",MEMBER_NETWORK
2022-03-18 13:33:02,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6910578817300324353,"","","",MEMBER_NETWORK
2022-03-11 01:06:47,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6907854300773773312,"","","",MEMBER_NETWORK
2022-01-28 19:36:42,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6892913330982637568,Ruth Alejandra Garzón #Reconocimientos Eres una fuente de #inspiraciónparalosdemás,"","",MEMBER_NETWORK
2021-11-25 00:28:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6869431552212815872,"","","",MEMBER_NETWORK
2021-11-25 00:25:56,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6869430906424233984,"","","",MEMBER_NETWORK
2021-10-23 02:50:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6857508486532648960,"",https://form.typeform.com/to/TrNsnLup,"",MEMBER_NETWORK
2021-10-14 17:15:34,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6854464702714585088,"","","",MEMBER_NETWORK
2021-09-15 11:22:07,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6843866502328856576,"","","",MEMBER_NETWORK
2021-07-25 15:06:08,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6825078710379573249,"","","",MEMBER_NETWORK
2021-07-20 23:34:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6823394829523828736,"","","",MEMBER_NETWORK
2021-07-20 16:06:42,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6823282011583610881,"","","",MEMBER_NETWORK
2021-07-20 02:19:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6823073950143193088,"","","",MEMBER_NETWORK
2021-07-07 22:12:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6818663116474241024,"",https://coursera.org/share/23f47426197713e2217d92541b6dd7f4,https://s3.amazonaws.com/coursera_assets/meta_images/generated/CERTIFICATE_LANDING_PAGE/CERTIFICATE_LANDING_PAGE~6WNG2R4BQ9Y7/CERTIFICATE_LANDING_PAGE~6WNG2R4BQ9Y7.jpeg,MEMBER_NETWORK
2021-07-02 14:39:09,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6816737000448675840,"","","",MEMBER_NETWORK
2021-06-04 22:10:48,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6806703801353990144,"","","",MEMBER_NETWORK
2021-05-14 04:33:55,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6798827683338878976,"","","",MEMBER_NETWORK
2021-05-01 22:49:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6794392317844365312,"","","",MEMBER_NETWORK
2021-05-01 22:46:29,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6794391594851188736,"","","",MEMBER_NETWORK
2021-05-01 16:21:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6794294593249710080,"","","",MEMBER_NETWORK
2021-04-28 18:00:08,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6793232365348040704,¡Acabo de terminar el curso «Building Web APIs with ASP.NET Core» de Christian Wenz! Échale un vistazo: https://lnkd.in/eAB2SJ6 #aspnetcore #aspnetwebapi #desarrollowebbackend.,"","",MEMBER_NETWORK
2021-04-28 04:29:56,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6793028471628083200,"","","",MEMBER_NETWORK
2021-04-18 05:29:48,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6789419660778516480,"","","",MEMBER_NETWORK
2021-04-18 05:16:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6789416339967655936,"","","",MEMBER_NETWORK
2021-04-18 04:34:19,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6789405696401170432,"","","",MEMBER_NETWORK
2021-04-17 05:28:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6789057008629821440,"","","",MEMBER_NETWORK
2021-04-16 15:07:19,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6788840222344978432,¡Acabo de terminar el curso «Building Web APIs with ASP.NET Core» de Christian Wenz! Échale un vistazo: https://lnkd.in/eAB2SJ6 #aspnetcore #aspnetwebapi #desarrollowebbackend.,"","",MEMBER_NETWORK
2021-04-16 15:06:53,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6788840111304953857,¡Acabo de terminar el curso «SCRUM con un café» de Carlos Solís y Oriol Reull Domínguez! Échale un vistazo: https://lnkd.in/eGF3AJ2 #scrum.,"","",MEMBER_NETWORK
2021-04-15 04:43:19,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6788320798991007744,Just finished the course “Scrum: Advanced” by Kelley O'Connell! Check it out: https://lnkd.in/evumVrW #scrum #agileprojectmanagement.,"","",MEMBER_NETWORK
2021-02-24 23:08:44,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6770479592542208000,"","","",MEMBER_NETWORK
2020-12-29 21:14:58,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6749794853166620672,"","","",MEMBER_NETWORK
2020-12-19 19:23:45,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6746142987304128512,"","","",MEMBER_NETWORK
2020-12-18 22:19:23,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6745824800515637248,"",https://coursera.org/share/664dc9a27ed4b71f8384cd530fc913c9,https://s3.amazonaws.com/coursera_assets/meta_images/generated/CERTIFICATE_LANDING_PAGE/CERTIFICATE_LANDING_PAGE~86J8C8JBASJU/CERTIFICATE_LANDING_PAGE~86J8C8JBASJU.jpeg,MEMBER_NETWORK
2020-11-24 03:02:08,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6736836257030172672,"","","",MEMBER_NETWORK
2020-11-24 03:01:36,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6736836123236057088,"","","",MEMBER_NETWORK
2020-11-05 04:40:16,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6729975584228732928,"",https://coursera.org/share/c56648cc641f6f3dc91216004474e747,https://s3.amazonaws.com/coursera_assets/meta_images/generated/CERTIFICATE_LANDING_PAGE/CERTIFICATE_LANDING_PAGE~DA2APL9V3A4L/CERTIFICATE_LANDING_PAGE~DA2APL9V3A4L.jpeg,MEMBER_NETWORK
2020-11-05 00:14:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6729908806270140416,"","","",MEMBER_NETWORK
2020-11-02 04:10:04,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6728880822545457152,"","","",MEMBER_NETWORK
2020-10-31 01:16:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6728112331127169024,"","","",MEMBER_NETWORK
2020-10-28 13:11:42,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6727205190677671936,"",https://coursera.org/share/c293e1398536ca7aa464ce7437778954,https://s3.amazonaws.com/coursera_assets/meta_images/generated/CERTIFICATE_LANDING_PAGE/CERTIFICATE_LANDING_PAGE~VZ66AJFYBBZV/CERTIFICATE_LANDING_PAGE~VZ66AJFYBBZV.jpeg,MEMBER_NETWORK
2020-10-27 03:55:34,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6726702844008828928,"",https://coursera.org/share/2e4faae79409552e777c2cedb1602550,https://s3.amazonaws.com/coursera_assets/meta_images/generated/CERTIFICATE_LANDING_PAGE/CERTIFICATE_LANDING_PAGE~9G7VZY3TW94P/CERTIFICATE_LANDING_PAGE~9G7VZY3TW94P.jpeg,MEMBER_NETWORK
2020-10-23 02:23:42,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6725230174176210944,"","","",MEMBER_NETWORK
2020-10-12 21:31:34,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6721532779248578560,"","","",MEMBER_NETWORK
2020-09-29 17:01:15,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6716753709981925376,Muy cierto y siempre hay que tenerlo presente,"","",MEMBER_NETWORK
2020-09-23 05:12:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6714400915266318336,"","","",MEMBER_NETWORK
2020-09-22 15:35:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6714195445570256896,"","","",MEMBER_NETWORK
2020-09-22 15:27:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6714193475484696576,"","","",MEMBER_NETWORK
2020-09-22 15:27:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6714193395235065858,"","","",MEMBER_NETWORK
2020-09-22 15:23:23,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6714192364300304384,"","","",MEMBER_NETWORK
2020-09-21 11:12:23,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6713766811793444866,"","","",MEMBER_NETWORK
2020-09-18 19:45:21,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6712808740183166976,"","","",MEMBER_NETWORK
2020-09-15 17:24:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6711686153029906432,"","","",MEMBER_NETWORK
2020-09-09 16:29:15,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6709497896783425537,"","","",MEMBER_NETWORK
2020-08-29 09:26:52,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6705405335168987136,"","","",MEMBER_NETWORK
2020-08-21 16:19:04,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6702609964474654720,"","","",MEMBER_NETWORK
2020-08-15 04:25:15,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6700256000517185536,"","","",MEMBER_NETWORK
2020-08-06 20:15:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6697233599747428352,View my verified achievement from CertiProf.,https://www.youracclaim.com/badges/fc23d9b0-51a5-416b-b021-72eed30c1bb3/linked_in,"",MEMBER_NETWORK
2020-07-26 19:55:58,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6693242468412010496,"","","",MEMBER_NETWORK
2020-07-10 04:36:16,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6687212810235117568,"","","",MEMBER_NETWORK
2020-07-02 01:22:49,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6684265023256317953,"Lida Iles Dorado #reconocimiento Qué privilegio tenerte cerca, ¡viva tu #grantrabajoenequipo!","","",MEMBER_NETWORK
2020-06-27 00:43:15,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6682443128403849216,"","","",MEMBER_NETWORK
2020-06-22 15:30:18,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6680854422089805824,"","","",MEMBER_NETWORK
2020-04-03 14:33:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6651849095491182593,"Scrum Master una certificación para crecer profesionalmente. Lo haré en IT Service. #ComunidadITService / https://itservice.com.co/""
""Andrey David Sarria Patino Jaiwer H Ramirez Matallana Angela Patricia Gomez","","",MEMBER_NETWORK
2019-09-28 16:48:26,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6583754138608291840,"","","",MEMBER_NETWORK
2018-06-28 17:32:06,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6418153871503351808,"","","",MEMBER_NETWORK
